rating_loop.thisRepN,rating_loop.thisTrialN,rating_loop.thisN,rating_loop.thisIndex,thisRow.t,notes,WelcomeScreen.started,WelcomeScreen.stopped,trial.started,trial.stopped,sliderRating.response,slider_stop.response,temperature_PT,sliderRating.markerPos,GoodbyScreen.started,text.started,GoodbyScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
19,0,19,0,2024-09-18_16:56:49.039218,,,,40.99274230003357,42.93060929980129,None,None,34.7,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
20,0,20,0,2024-09-18_16:56:51.031228,,,,42.99410999985412,44.92951399972662,None,None,34.6,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
21,0,21,0,2024-09-18_16:56:53.036403,,,,44.99411589978263,46.92867359984666,None,None,34.6,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
22,0,22,0,2024-09-18_16:56:55.034741,,,,46.99222050001845,48.92966050002724,None,None,34.6,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
23,0,23,0,2024-09-18_16:56:57.034656,,,,48.9940158999525,50.929955299943686,None,None,34.5,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
24,0,24,0,2024-09-18_16:56:59.034387,,,,50.99377809977159,52.93036179989576,None,None,34.5,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
25,0,25,0,2024-09-18_16:57:01.035653,,,,52.994262400083244,54.93098849989474,0.0,None,34.5,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
26,0,26,0,2024-09-18_16:57:03.025808,,,,54.99317539995536,56.93307999987155,None,None,34.5,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
27,0,27,0,2024-09-18_16:57:05.033931,,,,56.99732369976118,58.93337470013648,None,None,34.4,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
28,0,28,0,2024-09-18_16:57:07.037501,,,,58.99890419980511,60.93364699976519,None,None,34.4,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
29,0,29,0,2024-09-18_16:57:09.039551,,,,60.99841050012037,62.93195329979062,None,None,34.300000000000004,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
30,0,30,0,2024-09-18_16:57:11.033019,,,,62.99680049996823,64.92952180001885,24.0,None,34.300000000000004,24.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
31,0,31,0,2024-09-18_16:57:13.031701,,,,64.99306959984824,66.93080249987543,13.0,None,34.300000000000004,13.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
32,0,32,0,2024-09-18_16:57:15.030381,,,,66.99501849990338,68.9319184999913,None,None,34.300000000000004,None,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
33,0,33,0,2024-09-18_16:57:17.030176,,,,68.99512560013682,70.92811609990895,None,None,34.300000000000004,79.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
34,0,34,0,2024-09-18_16:57:19.030248,,,,70.99193490017205,72.9271947001107,None,None,34.300000000000004,34.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
35,0,35,0,2024-09-18_16:57:21.035469,,,,72.99208769993857,74.92888299981132,0.0,None,34.2,0.0,,,,97,003,2024-09-18_16h55.12.462,Waermeplatte_v76,2024.1.5,60,2024-09-18 16h56.08.135435 +0200,
